Veg_Pot;ess;Espece;GrEspece;awood;bwood;cwood;abark;bbark;cbark;abranche;bbranche;cbranche;afoliage;bfoliage;cfoliage
FO1;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
MF1;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
MJ1;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
MJ2;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
MS1;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
MS2;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
MS6;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RB1;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RB5;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RC3;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RE1;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RE2;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RE3;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RP1;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RS1;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RS2;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RS3;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RS5;Black Spruce;EPN;EPX;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
RT1;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
ME1;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
FEX;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
FEY;Black Spruce;EPN;NA;0.030851;1.75265;1.001378;0.01148;1.740502;0.658918;0.038005;3.255789;-1.42179;0.204813;2.57536;-1.37037
FC1;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
FE1;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
FE2;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
FE3;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
FE4;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
FE5;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
FE6;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
FO1;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
MF1;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
MJ1;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
MJ2;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
MS1;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
MS2;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
MS6;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
RB1;Eastern Hemlock;PRU;PRU;0.025655;1.927742;0.857604;0.011778;1.98931;0.470004;0.021483;2.655343;-0.46819;0.147084;2.010771;-0.60803
