Essence;Variable;Model;Moyenne;EcartType;Minimum;Maximum;MinimumSTD;MaximumSTD;Quant025;Quant975;Quant025STD;Quant975STD;Quant05;Quant95
SAB;Tmax_yr;Acc_GAM;7.4;;3.6;11;;;;;;;4.7;9.8
BOP;PAS;Acc_GAM;159;;NA;NA;;;;;;;128;236
EPB;PAS;Acc_GAM;171;;NA;NA;;;;;;;129;245
EPN;PAS;Acc_GAM;154;;NA;NA;;;;;;;113;222
PET;PAS;Acc_GAM;153;;NA;NA;;;;;;;114;215
PIG;PAS;Acc_GAM;144;;NA;NA;;;;;;;113;166
SAB;PAS;Acc_GAM;180;;NA;NA;;;;;;;131;251
BOP;TmaxUtil;Acc_BRT;;;20;27;;;;;;;;
EPB;TmaxUtil;Acc_BRT;;;16;28;;;;;;;;
EPN;TmaxUtil;Acc_BRT;;;16;28;;;;;;;;
PET;TmaxUtil;Acc_BRT;;;18;28;;;;;;;;
PIG;TmaxUtil;Acc_BRT;;;21;26;;;;;;;;
SAB;TmaxUtil;Acc_BRT;;;16;28;;;;;;;;
BOP;Min_WT;Acc_BRT;;;-32;-8;;;;;;;;
EPB;Min_WT;Acc_BRT;;;-32;-12;;;;;;;;
EPN;Min_WT;Acc_BRT;;;-32;-12;;;;;;;;
PET;Min_WT;Acc_BRT;;;-32;-12;;;;;;;;
PIG;Min_WT;Acc_BRT;;;-30;-15;;;;;;;;
SAB;Min_WT;Acc_BRT;;;-32;-8;;;;;;;;
BOP;FFP;Acc_BRT;;;85;155;;;;;;;;
EPB;FFP;Acc_BRT;;;40;160;;;;;;;;
EPN;FFP;Acc_BRT;;;50;160;;;;;;;;
PET;FFP;Acc_BRT;;;60;160;;;;;;;;
PIG;FFP;Acc_BRT;;;80;155;;;;;;;;
SAB;FFP;Acc_BRT;;;75;160;;;;;;;;
BOP;PUtile;Acc_BRT;;;250;650;;;;;;;;
EPB;PUtile;Acc_BRT;;;200;600;;;;;;;;
EPN;PUtile;Acc_BRT;;;250;650;;;;;;;;
PET;PUtile;Acc_BRT;;;200;600;;;;;;;;
PIG;PUtile;Acc_BRT;;;250;650;;;;;;;;
SAB;PUtile;Acc_BRT;;;300;700;;;;;;;;
BOP;PAS;Acc_BRT;;;50;600;;;;;;;;
EPB;PAS;Acc_BRT;;;50;500;;;;;;;;
EPN;PAS;Acc_BRT;;;50;600;;;;;;;;
PET;PAS;Acc_BRT;;;50;500;;;;;;;;
PIG;PAS;Acc_BRT;;;25;450;;;;;;;;
SAB;PAS;Acc_BRT;;;50;700;;;;;;;;
