VegPotID;Nothing;ParameterEstimates;SpeciesGroupID
4;1;0.060822289;7
4;1;0.028329596;7
4;1;-0.002704475;7
4;1;0.004502819;7
4;1;0.209374065;7
4;1;0.00987121;8
4;1;0.005181114;8
4;1;-0.00042468;8
4;1;-0.000106853;8
4;1;0.003101276;8
4;1;0.022039867;8
4;1;0.000962722;9
4;1;0.084015508;9
4;1;0.008547836;9
4;1;0.004747883;9
4;1;0.048379783;9
4;1;0.006088736;9
4;1;0.642795726;9
4;1;-0.054746593;10
4;1;-0.133386443;10
4;1;-0.00670682;10
4;1;-0.00572141;10
4;1;-0.085234701;10
4;1;-0.014290271;10
4;1;-0.272746738;10
4;1;0.847850371;10
4;1;-0.015548571;11
4;1;0.008466163;11
4;1;-7.69E-05;11
4;1;0.005403251;11
4;1;0.013737527;11
4;1;-0.000530274;11
4;1;0.007990994;11
4;1;-0.016755429;11
4;1;0.072975525;11
4;1;-0.008448852;13
4;1;-0.001567974;13
4;1;0.006502713;13
4;1;2.43E-05;13
4;1;-0.004569812;13
4;1;-0.00044637;13
4;1;0.012536487;13
4;1;-0.004786621;13
4;1;0.001454258;13
4;1;0.035960889;13
4;1;0.012602438;14
4;1;-0.002884261;14
4;1;-0.000289663;14
4;1;-0.002065685;14
4;1;0.000277134;14
4;1;-0.000429291;14
4;1;0.001718588;14
4;1;-0.007517419;14
4;1;0.000415669;14
4;1;0.000423269;14
4;1;0.042349958;14
4;1;-0.003474636;16
4;1;0.002656813;16
4;1;0.001337716;16
4;1;-0.000314347;16
4;1;-0.000570449;16
4;1;-5.80E-05;16
4;1;0.003319646;16
4;1;-0.010059953;16
4;1;0.00125912;16
4;1;0.000890696;16
4;1;6.29E-06;16
4;1;0.006417194;16
4;1;-0.108245646;17
4;1;-0.074756314;17
4;1;-0.001189574;17
4;1;0.028500344;17
4;1;-0.032881314;17
4;1;-0.001807643;17
4;1;-0.028958424;17
4;1;-0.009926493;17
4;1;-0.005347584;17
4;1;-0.007212862;17
4;1;-0.011160816;17
4;1;-0.000737606;17
4;1;0.790858732;17
4;1;-0.010806355;20
4;1;-0.002050181;20
4;1;0.000885794;20
4;1;0.007466159;20
4;1;-0.002515988;20
4;1;-0.000113304;20
4;1;-0.006182515;20
4;1;0.006684214;20
4;1;0.002340303;20
4;1;0.002641167;20
4;1;-0.001134932;20
4;1;-3.66E-06;20
4;1;0.002594917;20
4;1;0.024440826;20
4;1;-0.088279761;21
4;1;0.098526885;21
4;1;0.002325053;21
4;1;0.015670912;21
4;1;0.004957146;21
4;1;0.002196942;21
4;1;0.079593437;21
4;1;-0.187269064;21
4;1;0.023784598;21
4;1;0.003223296;21
4;1;-0.000973968;21
4;1;0.005582327;21
4;1;-0.06448043;21
4;1;0.004118364;21
4;1;0.413901733;21
4;1;-0.000554348;24
4;1;0.008363386;24
4;1;0.001908234;24
4;1;-0.001614241;24
4;1;-0.00209333;24
4;1;0.001775548;24
4;1;0.003903613;24
4;1;-0.013832655;24
4;1;-0.000130732;24
4;1;0.000160167;24
4;1;0.000688359;24
4;1;0.000807388;24
4;1;-0.012925208;24
4;1;-0.000626882;24
4;1;0.00198447;24
4;1;0.030432752;24
4;1;0.016345381;25
4;1;-0.01256293;25
4;1;-0.001072055;25
